id,name,type,district,revenue,employees,established_year
1,カフェ・モカ,カフェ,2B,5000000,8,2018
2,レストラン・花,レストラン,2D,12000000,15,2015
3,コンビニ・エース,コンビニ,3B,8000000,12,2020
4,美容院・サクラ,美容院,1D,6000000,6,2017
5,書店・知識,書店,1C,3000000,4,2019
6,薬局・健康,薬局,3B,4500000,5,2016
7,クリニック・メディカル,病院,2B,25000000,25,2014
8,保育園・キッズ,保育園,1B,8000000,20,2018
9,ジム・フィット,フィットネス,1C,4000000,6,2021
10,銀行・セキュリティ,銀行,1C,50000000,50,2010
11,不動産・ハウス,不動産,3B,12000000,18,2016
12,法律事務所・リーガル,法律,3C,15000000,12,2013
13,大学・アカデミー,教育,1C,80000000,200,2005
14,コンサル・アドバイザー,コンサル,1C,30000000,30,2012
15,保険・プロテクト,保険,3B,20000000,40,2011
16,編集・メディア,出版,3D,8000000,15,2017
17,工場・マニュファクチャー,製造,2D,15000000,35,2008
18,スーパー・マーケット,小売,2D,18000000,45,2015
19,タクシー・モビリティ,運輸,1B,12000000,30,2016
20,レストラン・和食,レストラン,3C,10000000,20,2019
21,カフェ・ブレンド,カフェ,3B,4500000,7,2020
22,美容院・エレガンス,美容院,1C,7000000,8,2018
23,コンビニ・コンビニエンス,コンビニ,1B,9000000,14,2021
24,書店・ブックワールド,書店,3C,3500000,5,2019
25,薬局・ファーマシー,薬局,2D,5000000,6,2017
26,クリニック・ケア,病院,2B,20000000,22,2015
27,保育園・チャイルド,保育園,3C,9000000,22,2019
28,ジム・ストロング,フィットネス,3B,4500000,7,2022
29,銀行・トラスト,銀行,3C,45000000,45,2011
30,不動産・プロパティ,不動産,1B,14000000,20,2017
31,法律事務所・ジャスティス,法律,1C,18000000,15,2014
32,大学・ユニバーシティ,教育,3B,75000000,180,2006
33,コンサル・ストラテジー,コンサル,2D,35000000,35,2013
34,保険・セーフティ,保険,3C,22000000,45,2012
35,編集・コンテンツ,出版,1B,9000000,18,2018
36,工場・プロダクション,製造,3C,16000000,38,2009
37,スーパー・フード,小売,2B,20000000,50,2016
38,タクシー・トランスポート,運輸,2D,13000000,32,2017
39,レストラン・洋食,レストラン,3B,11000000,22,2020
40,カフェ・エスプレッソ,カフェ,3D,4800000,8,2021
41,美容院・スタイル,美容院,3D,6500000,7,2019
42,コンビニ・クイック,コンビニ,1B,8500000,13,2022
43,書店・リテラチャー,書店,3D,3200000,4,2020
44,薬局・ドラッグ,薬局,1C,5200000,7,2018
45,クリニック・ヘルス,病院,2D,22000000,24,2016
46,保育園・ベビー,保育園,1D,8500000,21,2020
47,ジム・パワー,フィットネス,1C,4200000,6,2023
48,銀行・セーフティ,銀行,1C,48000000,48,2012
49,不動産・エステート,不動産,3D,13000000,19,2018
50,法律事務所・ロイヤー,法律,1D,16000000,14,2015
51,大学・カレッジ,教育,3D,70000000,160,2007
52,コンサル・マネジメント,コンサル,3D,32000000,32,2014
53,保険・ガード,保険,1C,24000000,48,2013
54,編集・デジタル,出版,2B,8500000,16,2019
55,工場・ファクトリー,製造,1C,17000000,40,2010
56,スーパー・ストア,小売,1C,19000000,48,2017
57,タクシー・ライド,運輸,3D,11000000,28,2018
58,レストラン・中華,レストラン,2B,9500000,18,2021
59,カフェ・ラテ,カフェ,1D,4200000,6,2022
60,美容院・ビューティ,美容院,3B,6800000,9,2020
61,コンビニ・ストア,コンビニ,1D,9200000,15,2023
62,書店・ライブラリー,書店,1B,3800000,6,2021
63,薬局・メディカル,薬局,1D,4800000,5,2019
64,クリニック・クリニック,病院,3B,18000000,20,2017
65,保育園・ナーサリー,保育園,3B,8000000,19,2021
66,ジム・フィットネス,フィットネス,3C,3800000,5,2024
67,銀行・バンク,銀行,2D,52000000,52,2013
68,不動産・リアルエステート,不動産,1B,15000000,22,2019
69,法律事務所・ロー,法律,2D,19000000,16,2016
70,大学・スクール,教育,2B,65000000,140,2008
71,コンサル・アドバイザリー,コンサル,3B,28000000,28,2015
72,保険・インシュアランス,保険,3D,26000000,52,2014
73,編集・パブリッシング,出版,1D,7500000,14,2020
74,工場・インダストリー,製造,3B,18000000,42,2011
75,スーパー・マーケットプレイス,小売,3C,21000000,55,2018
76,タクシー・キャブ,運輸,1C,14000000,35,2019
77,レストラン・イタリアン,レストラン,3B,12000000,24,2022
78,カフェ・カプチーノ,カフェ,3B,4000000,5,2023
79,美容院・サロン,美容院,3C,7200000,10,2021
80,コンビニ・コンビニエンスストア,コンビニ,1B,8800000,16,2024
81,書店・ブックストア,書店,2B,3400000,3,2022
82,薬局・ファーマシーストア,薬局,2D,4600000,4,2020
83,クリニック・メディカルセンター,病院,2B,16000000,18,2018
84,保育園・チャイルドケア,保育園,1B,7500000,17,2022
85,ジム・ヘルス,フィットネス,1B,3500000,4,2025
86,銀行・フィナンシャル,銀行,1B,55000000,55,2014
87,不動産・プロパティマネジメント,不動産,2D,16000000,24,2020
88,法律事務所・リーガルサービス,法律,3B,20000000,18,2017
89,大学・インスティテュート,教育,2B,60000000,120,2009
90,コンサル・ビジネス,コンサル,2D,25000000,25,2016
91,保険・プロテクション,保険,3D,28000000,56,2015
92,編集・メディアプロダクション,出版,3D,7000000,12,2021
93,工場・マニュファクチャリング,製造,1B,19000000,44,2012
94,スーパー・フードマーケット,小売,2D,22000000,60,2019
95,タクシー・トランスポーテーション,運輸,3B,15000000,38,2020
96,レストラン・フレンチ,レストラン,2B,13000000,26,2023
97,カフェ・アメリカーノ,カフェ,3C,3600000,4,2024
98,美容院・ヘアサロン,美容院,3D,7500000,11,2022
99,コンビニ・コンビニエンスチェーン,コンビニ,1D,9500000,18,2025
100,書店・ブックショップ,書店,1C,3000000,2,2023
